Tempo Trilateração (s);Tempo distancia 0(s);Tempo distancia 1(s);Tempo distancia 2(s);Tempo distancia 3(s);Tempo distancia 4(s);Tempo distancia 5(s);Tempo distancia 6(s);Tempo distancia 7(s);Tempo distancia 8(s);Tempo distancia 9(s);Tempo distancia 10(s);Tempo distancia 11(s);Distancia nó 0(m);Distancia nó 1(m);Distancia nó 2(m);Distancia nó 3(m);Distancia nó 4(m);Distancia nó 5(m);Distancia nó 6(m);Distancia nó 7(m);Distancia nó 8(m);Distancia nó 9(m);Distancia nó 10(m);Distancia nó 11(m);Posição x estimada (m);Posição y estimada (m);Posição x real (m);Posição y real (m)
9.777e-05;1.34e-07;7.6e-08;1.04e-07;7.9e-08;7.8e-08;7.8e-08;9.8e-08;9.7e-08;1.04e-07;9.1e-08;1.15e-07;9.3e-08;7.45434;6.55196;6.74803;6.89013;7.16264;5.31892;6.96987;6.6386;5.14024;7.04033;6.32142;7.38479;299.416;299.621;300;300
7.8064e-05;1.61e-07;1.5e-07;9.4e-08;7e-08;6.1e-08;6.9e-08;5.5e-08;7e-08;5.6e-08;6.4e-08;6.8e-08;6.3e-08;6.88923;6.88593;6.39128;5.04101;5.01613;5.97486;5.18701;5.87024;6.95668;5.74612;5.44783;5.45442;299.578;300.354;300;300
8.2147e-05;1.67e-07;8.5e-08;7.4e-08;7.2e-08;8.6e-08;7.6e-08;9e-08;7.1e-08;8.5e-08;7.5e-08;6.9e-08;9e-08;5.36239;5.39387;6.60533;5.94938;6.45723;6.9387;5.24067;6.80259;5.22478;7.41956;6.90152;5.13784;299.052;300.3;300;300
7.8112e-05;1.25e-07;1.01e-07;1.07e-07;7.14e-07;1.45e-07;9.9e-08;1.44e-07;9.9e-08;8.4e-08;7.7e-08;9.4e-08;7.7e-08;6.62062;5.27575;6.92431;6.70666;7.43965;5.69426;5.79469;5.99345;5.10277;6.03932;6.787;6.86315;299.44;300.157;300;300
9.5607e-05;1.53e-07;8.4e-08;8.4e-08;8.1e-08;1.09e-07;9.7e-08;1.01e-07;6.8e-08;8.7e-08;7.2e-08;1e-07;1.79e-07;6.60922;5.06829;5.88613;5.35849;6.07709;5.52757;6.56575;6.0699;6.83737;7.04662;5.29284;6.787;299.275;300.191;300;300
0.000114365;1.89e-07;1.16e-07;1.19e-07;1.46e-07;1.7e-07;1.11e-07;1.25e-07;1.11e-07;1.25e-07;8.9e-08;1.14e-07;8.25e-07;6.29504;6.62811;6.12956;5.16033;6.49141;7.32723;5.30213;6.99416;7.26967;5.90771;7.44894;6.72105;300.395;299.765;300;300
9.5538e-05;3.46e-07;1.3e-07;1.22e-07;8.5e-08;7.9e-08;1.1e-07;7.6e-08;9e-08;9.2e-08;7.8e-08;8.1e-08;1.05e-07;5.31862;5.27335;7.13056;6.19791;5.45802;5.0503;7.25198;7.12097;6.72315;7.219;7.26727;6.10288;300.162;299.768;300;300
0.000345781;1.37e-07;8.6e-08;1.11e-07;9.1e-08;8.3e-08;9.3e-08;1.77e-07;9.6e-08;1.01e-07;1.11e-07;9.4e-08;1.11e-07;7.31973;5.30003;7.34492;5.94339;5.42235;5.42774;6.47881;6.08459;6.84486;5.46612;6.47642;7.0793;300.886;300.07;300;300
0.000197046;2.5e-07;7.9e-08;8.2e-08;8.3e-08;2.36e-07;1.43e-07;1.74e-07;8e-08;1.11e-07;8.9e-08;1.5e-07;1.45e-07;5.83606;6.03302;5.30033;5.23438;6.97467;7.30055;5.59952;7.10988;5.14324;5.40946;6.82987;6.26296;300.038;300.254;300;300
8.0106e-05;1.11e-07;7.4e-08;8.6e-08;8e-08;8.6e-08;7.7e-08;8.7e-08;1.04e-07;9.4e-08;1e-07;8.4e-08;8.6e-08;5.28234;6.90332;5.6283;5.37048;7.24149;7.27776;5.96437;6.92611;6.72584;6.49051;6.37838;5.93289;299.785;299.674;300;300
9.0135e-05;1.89e-07;9.6e-08;7.8e-08;1.05e-07;9.8e-08;9e-08;9.5e-08;7.8e-08;7.4e-08;9.2e-08;9.8e-08;7.9e-08;7.10448;5.13814;6.7819;6.72884;6.48001;6.70006;6.57535;6.76452;6.23448;6.69197;7.22979;6.82927;300.178;299.656;300;300
9.3268e-05;1.49e-07;7e-08;1.05e-07;1.17e-07;5.6e-08;1.11e-07;8.9e-08;1.37e-07;1.27e-07;1.42e-07;1.52e-07;9.1e-08;7.24209;5.14924;6.61282;5.56055;6.66199;6.53548;7.37609;5.65199;7.43605;6.7852;5.66518;7.48042;300.843;300.407;300;300
9.0905e-05;1.27e-07;8.8e-08;9.3e-08;8.7e-08;7.3e-08;7.4e-08;1.23e-07;8.8e-08;9e-08;7.5e-08;1.11e-07;8.5e-08;6.83737;5.46702;6.56486;5.70085;6.68837;5.82557;6.62301;5.58453;5.13425;6.41946;7.42886;6.55526;300.233;299.859;300;300
7.0587e-05;1.55e-07;8.9e-08;5.6e-08;6.6e-08;6.6e-08;6.2e-08;7.1e-08;9e-08;7e-08;9.9e-08;7.8e-08;6e-08;5.83666;5.56894;6.97347;6.56516;6.09568;5.58663;6.34331;6.15594;5.3498;6.41226;5.89062;5.25057;299.573;299.542;300;300
7.0358e-05;1.2e-07;8e-08;1.57e-07;1.03e-07;8e-08;1.11e-07;9.1e-08;7.8e-08;8.1e-08;7.4e-08;9.1e-08;9.7e-08;6.99176;6.83647;6.83527;6.86495;5.73503;6.74413;7.3644;5.44393;6.80079;7.06731;5.02872;5.22808;298.653;299.548;300;300
8.9379e-05;1.55e-07;1.43e-07;1.06e-07;7.8e-08;7.2e-08;7e-08;7.7e-08;7.7e-08;7.9e-08;1.14e-07;9.8e-08;9.2e-08;7.43365;6.3529;5.76411;6.97167;5.61391;7.29545;5.60612;5.65528;6.77351;6.74353;6.61582;7.25048;299.114;299.86;300;300
7.958e-05;1.29e-07;1.77e-07;1e-07;1.14e-07;1.14e-07;9.6e-08;9.2e-08;7.2e-08;7.8e-08;8.4e-08;8.7e-08;1.48e-07;6.45423;7.3698;5.21939;5.66818;6.42605;7.19352;6.61762;6.638;6.99386;5.57254;5.16452;6.25247;300.976;300.282;300;300
0.000123181;1.67e-07;1.37e-07;1.17e-07;1.25e-07;1.09e-07;7.5e-08;8.9e-08;9.1e-08;7.5e-08;8.8e-08;8.3e-08;8.6e-08;5.14084;6.44824;6.66858;6.23748;5.74133;5.51528;7.28795;5.94249;5.75542;5.21009;7.07031;5.79379;300.271;299.788;300;300
0.000101343;1.6e-07;1e-07;7.1e-08;7.2e-08;8.4e-08;7.5e-08;9.5e-08;7.3e-08;5.4e-08;5.2e-08;5e-08;7.3e-08;5.96827;5.09467;6.75223;6.49261;5.9275;5.27755;5.51168;6.95968;7.41267;6.10797;6.97197;6.9393;300.536;299.314;300;300
7.2951e-05;1.51e-07;1.29e-07;1.09e-07;1.21e-07;1.63e-07;9.7e-08;9.4e-08;9.6e-08;9.8e-08;7.7e-08;9e-08;1.19e-07;6.82657;5.79139;6.09208;7.01934;6.41256;7.48072;6.7936;5.6397;7.02444;7.04033;5.69606;6.31693;300.396;300.316;300;300
