Tempo Trilateração (s);Tempo distancia 0(s);Tempo distancia 1(s);Tempo distancia 2(s);Tempo distancia 3(s);Tempo distancia 4(s);Tempo distancia 5(s);Tempo distancia 6(s);Tempo distancia 7(s);Tempo distancia 8(s);Tempo distancia 9(s);Tempo distancia 10(s);Tempo distancia 11(s);Distancia nó 0(m);Distancia nó 1(m);Distancia nó 2(m);Distancia nó 3(m);Distancia nó 4(m);Distancia nó 5(m);Distancia nó 6(m);Distancia nó 7(m);Distancia nó 8(m);Distancia nó 9(m);Distancia nó 10(m);Distancia nó 11(m);Posição x estimada (m);Posição y estimada (m);Posição x real (m);Posição y real (m)
0.000128353;2.16e-07;1.35e-07;1.04e-07;1.19e-07;8.3e-08;9.5e-08;8.3e-08;8.2e-08;8.5e-08;8.6e-08;9.5e-08;8.3e-08;6.00994;5.47391;6.87634;7.48732;5.94189;6.34391;5.07129;6.0738;7.44475;7.01844;5.00563;6.6446;299.775;299.926;300;300
9.4274e-05;1.41e-07;1.21e-07;7.8e-08;6.2e-08;6e-08;6.3e-08;6.2e-08;1.56e-07;8.1e-08;1.56e-07;8e-08;8e-08;5.71195;5.39656;7.31104;5.69846;5.71494;5.25057;6.4941;6.3604;6.23658;6.84966;7.10928;6.44134;300.097;300.271;300;300
0.000133851;1.33e-07;1.06e-07;9.5e-08;1.09e-07;1.17e-07;8.4e-08;1.05e-07;9.9e-08;9.9e-08;9.8e-08;1.07e-07;9.9e-08;6.11846;5.97606;6.07979;6.41316;7.14735;5.00384;5.97516;6.94109;6.66529;6.9384;5.19181;7.42946;299.213;299.212;300;300
7.274e-05;1.15e-07;9.2e-08;1.04e-07;8.5e-08;1.14e-07;1.12e-07;9.9e-08;9.8e-08;9.6e-08;1.06e-07;1.04e-07;8e-08;6.57385;6.34421;5.51198;6.08159;5.25416;5.491;7.0778;5.97217;5.95838;5.15793;6.46203;5.94099;300.13;299.944;300;300
7.0765e-05;1.01e-07;5.9e-08;8.6e-08;5.2e-08;3.9e-08;4.8e-08;5e-08;6.5e-08;6e-08;5.2e-08;6.7e-08;6.4e-08;6.88773;6.14395;6.08789;5.04641;6.67368;6.27526;7.09609;5.16962;6.7924;5.30333;7.39288;5.81208;299.244;299.685;300;300
7.0582e-05;1.34e-07;1.18e-07;8.4e-08;7.8e-08;8.9e-08;6.8e-08;8.1e-08;5.6e-08;7.4e-08;6.7e-08;6.7e-08;5.9e-08;5.73323;7.05142;6.62871;6.76542;5.99405;5.29913;6.56456;5.85675;5.76501;5.35639;7.47203;5.3459;299.782;300.736;300;300
7.4333e-05;1.47e-07;1.58e-07;1.01e-07;8.3e-08;7.1e-08;7.4e-08;1.53e-07;9e-08;1.16e-07;9e-08;7.3e-08;7e-08;7.41057;6.02523;5.771;6.6446;5.27035;6.41136;5.00324;5.84805;7.05052;5.09797;6.52139;5.40586;300.59;300.754;300;300
7.2979e-05;1.52e-07;1.19e-07;9e-08;5.7e-08;6.5e-08;5.2e-08;6.6e-08;5.2e-08;5.6e-08;5.7e-08;7.6e-08;7.5e-08;5.70895;5.68377;6.41796;5.25176;5.95538;5.51168;5.45982;5.59922;6.68117;5.40286;7.01035;7.44025;301.306;300.297;300;300
8.9013e-05;2.1e-07;9.3e-08;6.1e-08;5.6e-08;5.4e-08;7e-08;5.2e-08;4.9e-08;6.3e-08;6.8e-08;6.2e-08;1e-07;6.17123;5.00204;5.04581;5.29913;6.71505;5.24187;5.61511;6.43774;6.09268;6.08819;5.42654;5.73683;300.48;300.21;300;300
9.2135e-05;1.57e-07;1.43e-07;9.4e-08;1.03e-07;8.7e-08;9.3e-08;7.8e-08;7.8e-08;8.9e-08;8.3e-08;8.6e-08;8.4e-08;6.22129;7.0724;6.15564;5.12105;6.38948;6.56246;5.9203;7.39288;6.62901;6.13825;5.85914;7.02474;300.643;300.073;300;300
