Tempo Trilateração (s);Tempo distancia 0(s);Tempo distancia 1(s);Tempo distancia 2(s);Tempo distancia 3(s);Tempo distancia 4(s);Tempo distancia 5(s);Tempo distancia 6(s);Tempo distancia 7(s);Tempo distancia 8(s);Tempo distancia 9(s);Tempo distancia 10(s);Tempo distancia 11(s);Distancia nó 0(m);Distancia nó 1(m);Distancia nó 2(m);Distancia nó 3(m);Distancia nó 4(m);Distancia nó 5(m);Distancia nó 6(m);Distancia nó 7(m);Distancia nó 8(m);Distancia nó 9(m);Distancia nó 10(m);Distancia nó 11(m);Posição x estimada (m);Posição y estimada (m);Posição x real (m);Posição y real (m)
7.28e-05;1.25e-07;1.05e-07;7.5e-08;7.3e-08;5.4e-08;5.2e-08;6.7e-08;1.09e-07;2.05e-07;6.6e-08;4.7e-08;5.6e-08;10.8381;10.6825;10.6678;11.3253;10.1842;10.3629;10.2937;10.2301;10.8333;11.2062;12.4486;11.176;299.945;299.628;300;300
7.5358e-05;1.11e-07;1.01e-07;1.09e-07;8.9e-08;1.26e-07;1e-07;7.8e-08;1.06e-07;1.53e-07;9.6e-08;1.06e-07;8.7e-08;10.3932;10.8267;11.0941;11.7603;10.9184;11.721;10.6579;12.4312;10.246;12.2861;10.8006;11.5168;299.878;300.051;300;300
9.416e-05;1.17e-07;1.05e-07;9.8e-08;8.1e-08;9.2e-08;6.5e-08;7.5e-08;9.5e-08;1.23e-07;1.04e-07;1.05e-07;9.2e-08;10.4927;10.7536;12.4804;11.676;11.0177;10.8;10.5371;10.6987;11.0174;10.2169;10.7047;10.4121;300.417;299.599;300;300
7.5472e-05;1.29e-07;9.4e-08;9.2e-08;9.1e-08;8.2e-08;9.4e-08;8.5e-08;8e-08;9.4e-08;1.15e-07;1.01e-07;1.11e-07;10.8288;11.3534;11.7752;10.4993;11.247;12.2255;11.1784;10.0601;11.6685;10.4625;11.2491;12.3125;300.78;299.493;300;300
9.4102e-05;1.56e-07;9.7e-08;9.3e-08;8.7e-08;1.06e-07;9.2e-08;1e-07;7.8e-08;9.2e-08;8.1e-08;1.02e-07;8.2e-08;10.4259;10.2496;10.4631;11.6164;11.7767;11.0683;11.5303;12.171;10.6573;11.84;10.3231;10.7449;299.917;300.092;300;300
0.000209595;1.31e-07;9e-08;8.5e-08;9.3e-08;7.6e-08;7.9e-08;9.2e-08;7.6e-08;9e-08;8.7e-08;9.8e-08;1.19e-07;11.5492;12.3308;12.162;11.4913;11.7513;10.8237;11.2743;10.8876;12.4027;12.105;10.2319;12.4012;299.472;299.212;300;300
0.000135052;1.79e-07;1.06e-07;8.7e-08;7.5e-08;7.6e-08;7.5e-08;5.4e-08;6.3e-08;5.9e-08;8.8e-08;9.3e-08;2.31e-07;11.7764;10.2673;12.3658;11.1019;10.4921;11.253;11.5609;10.4376;11.3576;10.8618;11.4773;12.0672;300.74;299.942;300;300
7.1976e-05;1.71e-07;1.03e-07;7.9e-08;8.6e-08;9.2e-08;8e-08;8.2e-08;1.24e-07;8.9e-08;1.13e-07;1.44e-07;9.4e-08;11.1319;11.0489;10.0529;10.5797;10.7476;11.4497;12.3646;11.2851;10.3953;11.4305;10.3536;11.6472;300.481;300.178;300;300
8.1406e-05;1.2e-07;9.4e-08;1.09e-07;1.08e-07;1.53e-07;8.3e-08;8e-08;1.19e-07;9.5e-08;8.8e-08;7.3e-08;7.9e-08;12.3017;11.223;10.1051;11.6292;10.8123;11.9389;10.8513;10.9496;12.2909;10.9895;11.9281;11.1487;299.991;300.51;300;300
8.7578e-05;1.34e-07;1.06e-07;5.6e-08;1.04e-07;6.9e-08;7.8e-08;1.01e-07;6.6e-08;8.2e-08;8.1e-08;8e-08;7.4e-08;10.4409;10.4202;11.4071;11.2044;11.4731;11.3756;10.9038;11.5669;11.396;11.6589;10.1567;10.66;299.882;300.358;300;300
9.5986e-05;1.67e-07;1.06e-07;9e-08;4.1e-08;6e-08;5.5e-08;1.06e-07;7.6e-08;1.61e-07;1.03e-07;8.9e-08;7e-08;10.7182;10.0853;11.7216;10.076;12.0304;10.553;10.2745;11.7878;10.3177;10.431;10.0754;12.1884;300.102;298.977;300;300
7.2898e-05;1.13e-07;5e-08;7.5e-08;7.7e-08;5.4e-08;8.8e-08;5.6e-08;7e-08;1.06e-07;6.1e-08;7.3e-08;9.1e-08;11.5546;11.9326;11.068;11.8394;10.6444;11.2587;11.0084;12.1911;10.6957;10.9865;11;11.7687;299.716;299.978;300;300
9.1759e-05;1.33e-07;9.2e-08;8.4e-08;9.7e-08;1.21e-07;8.7e-08;1.53e-07;1.25e-07;1.06e-07;6.8e-08;1e-07;1.18e-07;12.2564;11.7959;11.9078;10.4774;11.3603;12.4048;10.9826;11.1844;11.9173;11.0869;11.0686;11.3576;299.752;299.895;300;300
