Tempo Trilateração (s),Tempo distancia 0(s),Tempo distancia 1(s),Tempo distancia 2(s),Tempo distancia 3(s),Tempo distancia 4(s),Tempo distancia 5(s),Tempo distancia 6(s),Tempo distancia 7(s),Tempo distancia 8(s),Tempo distancia 9(s),Tempo distancia 10(s),Tempo distancia 11(s),Distancia nó 0(m),Distancia nó 1(m),Distancia nó 2(m),Distancia nó 3(m),Distancia nó 4(m),Distancia nó 5(m),Distancia nó 6(m),Distancia nó 7(m),Distancia nó 8(m),Distancia nó 9(m),Distancia nó 10(m),Distancia nó 11(m),Posição x estimada (m),Posição y estimada (m),Posição x real (m),Posição y real (m)
0.0001155650,0.0000001350,0.0000000810,0.0000000730,0.0000000710,0.0000000850,0.0000000830,0.0000000680,0.0000000710,0.0000000730,0.0000000990,0.0000000980,0.0000001370,3.4224307005,2.9697440889,3.1706050358,1.7465908603,1.4947651956,1.5433315738,2.4310170419,2.8330387281,3.1610116772,2.5638251008,2.0766623566,2.0802598661,298.6112868050,300.2233856616,300.0000000000,300.0000000000
0.0000752620,0.0000001450,0.0000000950,0.0000000770,0.0000000970,0.0000000750,0.0000000760,0.0000000730,0.0000001250,0.0000001120,0.0000000790,0.0000000880,0.0000000780,1.1413098876,1.7543854642,2.7652856326,2.2025751889,2.4211238908,1.6434622548,3.3273964913,1.4701822140,1.1589976426,3.2860251321,3.3852564357,3.2920209813,301.1537793119,301.4410186537,300.0000000000,300.0000000000
0.0000724210,0.0000001360,0.0000000970,0.0000001100,0.0000000750,0.0000000760,0.0000001150,0.0000001130,0.0000000890,0.0000005990,0.0000001280,0.0000001290,0.0000001290,2.5125605905,2.4783842503,2.2022753965,3.1454224693,1.7265047656,3.0081175236,3.1766008850,3.0842648079,2.3152971531,2.9625490700,2.6411715550,1.2003690018,300.2438629431,302.0891866861,300.0000000000,300.0000000000
0.0001561960,0.0000002010,0.0000001250,0.0000001170,0.0000001220,0.0000001550,0.0000001180,0.0000001140,0.0000001170,0.0000001060,0.0000001250,0.0000001010,0.0000001210,1.0894457924,1.9660389396,2.4756861182,1.0399800368,1.2336459647,2.9334692015,2.8795065591,2.5386425343,1.7786686533,2.5548313271,1.8659082586,3.3285956612,298.4714703081,301.4640642382,300.0000000000,300.0000000000
0.0000762510,0.0000001620,0.0000001040,0.0000000870,0.0000000760,0.0000000880,0.0000000860,0.0000000800,0.0000000880,0.0000000940,0.0000000930,0.0000000900,0.0000000900,2.7023292164,2.3476747386,1.8961872968,2.0391882993,1.2228534362,1.4276116850,1.1655930767,2.8267430865,2.9406642205,1.3586594197,3.0192098445,2.5503344402,300.8258430406,300.2248397514,300.0000000000,300.0000000000
0.0000829130,0.0000001350,0.0000001190,0.0000000660,0.0000000900,0.0000000560,0.0000000980,0.0000000830,0.0000000830,0.0000001150,0.0000000980,0.0000000830,0.0000000850,1.9387578259,1.4339073266,1.6302713866,1.3958336844,3.0315013353,2.8081559541,1.4327081568,2.0796602811,1.0519717351,2.8920978423,1.9021831460,3.0863633551,301.8580319634,298.7054821906,300.0000000000,300.0000000000
0.0000789070,0.0000001240,0.0000001170,0.0000000840,0.0000000730,0.0000000680,0.0000001090,0.0000000950,0.0000001010,0.0000000970,0.0000001180,0.0000001300,0.0000000990,2.2334538121,2.2136675099,1.2510339272,2.4145284567,2.9859328817,1.6332693112,2.8441310490,3.0734722794,1.3937351372,2.1471135842,2.5005688922,1.4716811763,298.7380815887,300.1794017928,300.0000000000,300.0000000000
0.0000677580,0.0000001360,0.0000000850,0.0000000850,0.0000000820,0.0000000910,0.0000000790,0.0000001230,0.0000001120,0.0000000990,0.0000000900,0.0000000970,0.0000000780,2.2169652269,1.6704435760,3.3405873595,2.4448074950,1.7939580687,3.4032439832,3.1061496573,1.7112153503,1.9528480714,3.1652087716,1.6785379723,1.2084633982,298.7364217513,300.5938167653,300.0000000000,300.0000000000
0.0000793060,0.0000001530,0.0000000830,0.0000001010,0.0000001130,0.0000000930,0.0000000890,0.0000000730,0.0000001040,0.0000000920,0.0000001160,0.0000000880,0.0000001340,3.0992544308,1.8197402201,1.5340380076,1.0660619806,1.7531862944,2.9997233347,1.2456376630,2.6150896111,3.2641402827,1.6608502173,2.2499423973,1.4671842895,298.9369266737,299.6675717698,300.0000000000,300.0000000000
0.0000890620,0.0000001330,0.0000000960,0.0000000750,0.0000001030,0.0000000690,0.0000001030,0.0000001060,0.0000000830,0.0000000800,0.0000000730,0.0000000910,0.0000000990,1.8461219564,1.1997694169,1.4195172886,2.6939350276,3.3342917179,1.0945422642,2.5137597603,1.7253055958,2.3581674746,1.7558844265,2.7568914438,3.4482128519,300.3076508246,302.1623978073,300.0000000000,300.0000000000
0.0000680160,0.0000001450,0.0000001090,0.0000001370,0.0000001770,0.0000001160,0.0000000940,0.0000000730,0.0000000760,0.0000000900,0.0000001030,0.0000000910,0.0000000830,2.7775771234,1.0702590751,2.2034745663,1.0939426792,2.8801061440,1.8053501821,3.0066185613,1.1853793789,2.5995004033,2.2343531895,1.6596510475,2.6297794416,300.9782226156,300.0751599517,300.0000000000,300.0000000000
0.0000764320,0.0000001770,0.0000001320,0.0000000990,0.0000001060,0.0000001100,0.0000001000,0.0000000940,0.0000000900,0.0000000950,0.0000001120,0.0000000850,0.0000000780,2.6012991581,1.1835806242,1.1116304343,3.2299639425,1.7277039355,2.1198324705,1.9219694482,3.2248674707,2.3335844931,3.2302637350,2.0418864314,2.0844569605,299.8988321553,300.1945077171,300.0000000000,300.0000000000
0.0000890790,0.0000002310,0.0000000680,0.0000000700,0.0000000700,0.0000000790,0.0000000740,0.0000000770,0.0000000770,0.0000000900,0.0000000700,0.0000000890,0.0000000850,2.6987317069,1.2999000979,3.0641787132,2.5578292517,1.0106003759,2.3383811724,2.1237297725,1.1751864354,2.8696134080,1.4015297411,3.3777616243,2.4490045894,299.3451615429,300.3108240632,300.0000000000,300.0000000000
0.0000751620,0.0000001580,0.0000000820,0.0000000900,0.0000000810,0.0000000820,0.0000001300,0.0000000570,0.0000000690,0.0000000850,0.0000000920,0.0000000950,0.0000000970,3.2494504523,2.3656622861,2.2928127188,2.7496964248,2.6297794416,3.2923207738,2.0901530172,2.1492121314,3.3435852841,2.3027058699,1.8245368994,1.6248751224,301.2963130475,301.0176783192,300.0000000000,300.0000000000
0.0000719770,0.0000001100,0.0000000790,0.0000000910,0.0000000650,0.0000000980,0.0000000850,0.0000000730,0.0000000920,0.0000000850,0.0000000820,0.0000000840,0.0000000890,2.5869091201,3.0911600344,2.1749942828,3.0848643928,1.1527020010,1.3892382504,2.9523561264,3.2332616595,1.3706511180,2.4909755335,1.4423015154,2.0988469985,301.2526417323,300.0096191049,300.0000000000,300.0000000000
0.0000745330,0.0000002900,0.0000001040,0.0000001020,0.0000001090,0.0000000990,0.0000000920,0.0000001000,0.0000000760,0.0000000840,0.0000000830,0.0000000940,0.0000000770,2.5353448173,2.9409640130,2.6834422916,1.6605504249,1.9816281474,1.2105619454,2.9691445040,2.4741871559,2.7883696519,1.8203398050,1.4432008928,1.8671074284,300.0812488294,299.4472152676,300.0000000000,300.0000000000
0.0000945120,0.0000001150,0.0000000980,0.0000000920,0.0000000860,0.0000000800,0.0000000880,0.0000000850,0.0000000840,0.0000001150,0.0000001250,0.0000000910,0.0000000950,2.5713199123,3.2272658104,2.5239527039,1.3487662685,1.0318856404,1.9654393546,1.3949343071,2.0580752242,1.6617495947,1.0276885460,1.3703513255,2.1117380742,300.0182628960,299.7076373239,300.0000000000,300.0000000000
0.0000730480,0.0000001230,0.0000000840,0.0000000870,0.0000000980,0.0000000740,0.0000000780,0.0000000740,0.0000000770,0.0000000900,0.0000001170,0.0000000890,0.0000000860,1.6869321612,1.2405411912,2.7664848024,1.7088170106,2.7071258957,3.1775002623,1.0843493206,2.4427089478,3.3034130947,2.4217234757,1.4863710068,3.1535168657,301.5739221076,299.4751176749,300.0000000000,300.0000000000
