Tempo Trilateração (s);Tempo distancia 0(s);Tempo distancia 1(s);Tempo distancia 2(s);Tempo distancia 3(s);Tempo distancia 4(s);Tempo distancia 5(s);Distancia nó 0(m);Distancia nó 1(m);Distancia nó 2(m);Distancia nó 3(m);Distancia nó 4(m);Distancia nó 5(m);Posição x estimada (m);Posição y estimada (m);Posição x real (m);Posição y real (m)
5.4143e-05;1.35e-07;1.32e-07;9e-08;1.01e-07;1.06e-07;1.01e-07;6.09448;5.10217;5.41335;6.91261;7.16504;5.66278;299.075;299.716;300;300
4.4259e-05;1.44e-07;8.4e-08;7e-08;9.3e-08;1.08e-07;1.03e-07;6.57415;6.67458;6.12986;5.39566;7.14315;6.28215;300.336;300.206;300;300
5.2734e-05;1.67e-07;8.8e-08;1.18e-07;8.9e-08;7.5e-08;8.5e-08;5.40406;5.27095;6.00304;6.59693;7.12037;7.21271;300.076;299.103;300;300
6.5159e-05;2.29e-07;2.51e-07;9.8e-08;5.9e-08;6.1e-08;6.2e-08;5.02782;6.6413;5.16722;5.30603;7.41926;5.56805;300.206;299.354;300;300
4.3574e-05;1.14e-07;8.8e-08;8.3e-08;6e-08;6e-08;4.6e-08;7.45794;6.45153;6.76422;6.03992;6.23988;7.41746;300.587;300.744;300;300
6.4601e-05;3.28e-07;1.34e-07;1.37e-07;1e-07;1.13e-07;1.34e-07;6.39098;6.26236;6.36759;6.83347;6.6497;7.0805;300.098;300.476;300;300
4.5126e-05;1.53e-07;8.2e-08;1.64e-07;7.1e-08;7.5e-08;6.1e-08;6.82837;6.67038;5.22358;7.00975;6.87394;5.32791;301.106;299.351;300;300
5.0908e-05;1.48e-07;1.1e-07;9.2e-08;8.9e-08;7.6e-08;9.3e-08;5.13455;7.38329;6.65329;7.12517;6.6464;6.92611;299.769;300.81;300;300
6.2437e-05;1.79e-07;9.3e-08;8.6e-08;8.1e-08;1.06e-07;1e-07;6.40327;5.22029;5.67567;5.54826;6.26236;5.09257;300.05;300.625;300;300
4.9259e-05;1.51e-07;1.01e-07;1.41e-07;1.01e-07;9.8e-08;9.3e-08;6.03602;6.3541;6.3496;5.14234;6.04861;7.32723;300.168;301.319;300;300
5.4019e-05;1.2e-07;1.11e-07;9.2e-08;9e-08;9e-08;1.01e-07;7.35901;6.11337;5.41125;6.33551;5.29523;6.10108;299.07;299.637;300;300
4.8507e-05;1.24e-07;6.8e-08;1.04e-07;1.02e-07;6.1e-08;6.7e-08;6.40776;6.74383;5.47391;5.87893;5.24367;6.7828;299.326;299.348;300;300
5.0216e-05;1.32e-07;9.4e-08;8.4e-08;1.09e-07;7.6e-08;1.06e-07;7.35121;5.46162;5.62411;5.83696;5.32282;6.19371;299.986;300.218;300;300
5.4802e-05;1.36e-07;8.7e-08;8.3e-08;8.8e-08;6.4e-08;8.8e-08;5.777;5.41545;5.47751;5.87623;5.61331;6.37029;299.42;299.923;300;300
4.476e-05;1.56e-07;1.11e-07;5.7e-08;6.3e-08;8.5e-08;5.5e-08;5.38907;6.43894;5.97306;7.13896;5.43314;5.30783;300.299;300.325;300;300
