Tempo Trilateração (s);Tempo distancia 0(s);Tempo distancia 1(s);Tempo distancia 2(s);Tempo distancia 3(s);Tempo distancia 4(s);Distancia nó 0(m);Distancia nó 1(m);Distancia nó 2(m);Distancia nó 3(m);Distancia nó 4(m);Posição x estimada (m);Posição y estimada (m);Posição x real (m);Posição y real (m)
0.000135009;1.675e-06;1.582e-06;2.074e-06;1.451e-06;1.439e-06;32.7158;57.5745;72.0278;37.5787;35.8954;263.356;228.387;259.056;226.8
0.000112611;2.302e-06;1.252e-06;1.731e-06;1.356e-06;1.574e-06;32.7158;57.5745;72.0278;37.5787;35.8954;263.356;228.387;259.056;226.8
0.00012229;1.49e-06;1.38e-06;1.554e-06;1.233e-06;1.142e-06;32.7158;57.5745;72.0278;37.5787;35.8954;263.356;228.387;259.056;226.8
0.000118172;1.179e-06;1.452e-06;1.278e-06;1.602e-06;1.344e-06;32.7158;57.5745;72.0278;37.5787;35.8954;263.356;228.387;259.056;226.8
