Tempo Trilateração (s),Tempo distancia 0(s),Tempo distancia 1(s),Tempo distancia 2(s),Distancia nó 0(m),Distancia nó 1(m),Distancia nó 2(m),Posição x estimada (m),Posição y estimada (m),Posição x real (m),Posição y real (m)
0.0000442560,0.0000002930,0.0000002200,0.0000001110,2.9700438814,3.0210085993,2.3161965305,300.9404316472,299.2122345025,300.0000000000,300.0000000000
0.0000498480,0.0000001530,0.0000000670,0.0000001240,2.0430856013,1.7795680307,2.7050273485,300.7857435455,301.2894117447,300.0000000000,300.0000000000
0.0000506800,0.0000004010,0.0000002180,0.0000001550,2.5455377609,3.0359982222,2.3167961154,299.0375647589,300.4063261153,300.0000000000,300.0000000000
0.0000496450,0.0000001920,0.0000001420,0.0000001210,1.0744561695,1.3619571367,2.1369206406,300.1751177955,298.4691309134,300.0000000000,300.0000000000
0.0000541040,0.0000001650,0.0000001330,0.0000001600,2.9394650507,1.0129987156,1.4920670635,300.3000244310,296.4928802378,300.0000000000,300.0000000000
0.0000708280,0.0000003750,0.0000001840,0.0000001580,1.2009685867,2.6162887810,2.8375356150,298.6493396402,298.0460189498,300.0000000000,300.0000000000
0.0000336510,0.0000001650,0.0000000920,0.0000000910,2.0904528096,2.8789069742,2.8312399734,299.0204718958,299.1565646855,300.0000000000,300.0000000000
0.0000311040,0.0000001480,0.0000001030,0.0000000980,2.6903375181,3.1619110545,3.0000231272,299.7506143118,301.1304970895,300.0000000000,300.0000000000
0.0001982640,0.0000001730,0.0000001150,0.0000001300,2.3818510788,1.3646552688,2.3521716255,299.9648741985,301.8703394780,300.0000000000,300.0000000000
0.0000330340,0.0000001390,0.0000001090,0.0000001200,1.4150204018,1.7855638798,3.1861942436,298.2591011527,302.3338766631,300.0000000000,300.0000000000
0.0000308580,0.0000001550,0.0000001140,0.0000000900,2.7053271410,2.7017296315,3.3723653600,299.9951370155,297.9681104246,300.0000000000,300.0000000000
0.0000338800,0.0000001280,0.0000000540,0.0000000820,2.8165501429,2.7760781611,1.2708202295,299.9434138122,303.1023991382,300.0000000000,300.0000000000
0.0000335350,0.0000002100,0.0000000950,0.0000000690,1.7064186709,2.6822431217,2.5080637036,300.2260111556,301.9152705861,300.0000000000,300.0000000000
0.0000427180,0.0000002780,0.0000001160,0.0000001090,1.0873472452,2.6471674041,1.7426935584,299.5363357983,297.5510785847,300.0000000000,300.0000000000
0.0000297250,0.0000001660,0.0000001150,0.0000000940,3.0069183537,2.3311861534,1.8518180131,299.4987002679,297.6951357158,300.0000000000,300.0000000000
0.0001680150,0.0000012240,0.0000001560,0.0000001200,3.2833270000,1.0810516035,1.6572527078,297.5971090951,301.6139839208,300.0000000000,300.0000000000
0.0000383970,0.0000001470,0.0000000740,0.0000000780,2.4028365509,1.4255131378,1.1940733602,300.1515691291,297.9776629788,300.0000000000,300.0000000000
0.0000295090,0.0000001450,0.0000000960,0.0000000990,3.3531786427,2.8477285585,1.1494042840,299.2164377333,304.1777761343,300.0000000000,300.0000000000
0.0000326970,0.0000001770,0.0000001180,0.0000001000,3.1085479970,2.3803521165,2.8318395583,300.5883097713,298.5898125458,300.0000000000,300.0000000000
0.0000340370,0.0000002210,0.0000001030,0.0000001040,1.5373357246,3.1127450914,2.3662618710,298.9775033095,302.6403937465,300.0000000000,300.0000000000
0.0000431020,0.0000001440,0.0000001240,0.0000001090,1.6776385950,2.9472596546,2.7880698594,300.2282514827,302.7076826255,300.0000000000,300.0000000000
0.0000372010,0.0000001410,0.0000001120,0.0000001070,1.1730878882,1.2453378705,1.3316780984,299.9443749635,300.1429906457,300.0000000000,300.0000000000
0.0000359040,0.0000001500,0.0000000830,0.0000001090,1.0261895837,1.3823430238,2.3965409093,299.7855482066,297.8692801595,300.0000000000,300.0000000000
0.0000384430,0.0000003470,0.0000001360,0.0000001130,1.0061034890,2.8777078043,3.1996849042,299.5108046802,304.1236743081,300.0000000000,300.0000000000
0.0000414250,0.0000001770,0.0000000600,0.0000000940,1.7975555782,1.0507725653,1.9117765047,300.6376916050,299.5741500686,300.0000000000,300.0000000000
0.0000360110,0.0000002000,0.0000001050,0.0000001150,2.0014144496,3.3552771899,1.2813129655,297.5959694736,301.2220820847,300.0000000000,300.0000000000
0.0000346420,0.0000001890,0.0000001110,0.0000000680,1.4473979872,2.5785149313,2.3407795121,299.7076273683,301.9845165270,300.0000000000,300.0000000000
0.0000387920,0.0000001960,0.0000001150,0.0000000860,3.2065801308,1.8674072209,3.1352295258,298.4143863873,298.1881404094,300.0000000000,300.0000000000
0.0000335610,0.0000001110,0.0000000490,0.0000000920,1.4794757802,3.2158736970,3.4158352665,300.3315217332,304.4080192585,300.0000000000,300.0000000000
0.0000302840,0.0000001480,0.0000001280,0.0000001180,1.6020908956,1.3250826644,2.7925667463,298.4893537587,301.1052206561,300.0000000000,300.0000000000
