Tempo Trilateração (s);Tempo distancia 0(s);Tempo distancia 1(s);Tempo distancia 2(s);Tempo distancia 3(s);Tempo distancia 4(s);Distancia nó 0(m);Distancia nó 1(m);Distancia nó 2(m);Distancia nó 3(m);Distancia nó 4(m);Posição x estimada (m);Posição y estimada (m);Posição x real (m);Posição y real (m)
0.000119012;1.53e-06;1.308e-06;1.674e-06;1.42e-06;2.003e-06;72.0278;85.6828;32.7158;115.995;99.1668;252.196;227.662;259.056;226.8
0.000121164;2.228e-06;1.736e-06;1.55e-06;2.459e-06;1.55e-06;72.0278;85.6828;32.7158;115.995;99.1668;252.196;227.662;259.056;226.8
0.000120359;1.886e-06;1.462e-06;1.688e-06;1.268e-06;1.775e-06;32.7158;57.5745;72.0278;37.5787;35.8954;263.356;228.387;259.056;226.8
