Tempo Trilateração (s),Tempo distancia 0(s),Tempo distancia 1(s),Tempo distancia 2(s),Tempo distancia 3(s),Tempo distancia 4(s),Tempo distancia 5(s),Distancia nó 0(m),Distancia nó 1(m),Distancia nó 2(m),Distancia nó 3(m),Distancia nó 4(m),Distancia nó 5(m),Posição x estimada (m),Posição y estimada (m),Posição x real (m),Posição y real (m)
4.2409e-05,1.9273e-05,2.2516e-05,4.71e-07,4e-07,5.2e-07,3.87e-07,3.84728,3.7752,3.82884,3.99284,4.72556,4.15091,300.141,300.133,0,0
4.4199e-05,1.236e-06,5.9e-07,4.71e-07,5.28e-07,4.06e-07,4.54e-07,4.8256,3.57645,4.13567,3.93389,4.02914,3.58955,299.701,299.675,0,0
4.5213e-05,1.9149e-05,6.08e-07,4.33e-07,4.4e-07,4.28e-07,4.88e-07,4.77546,3.85251,3.53857,3.79667,3.88004,4.00345,300.152,300.05,0,0
4.4014e-05,8.62e-07,4.96e-07,5.29e-07,4.23e-07,3.56e-07,3.87e-07,4.38435,3.57727,4.02894,3.74163,3.67763,3.99525,300.017,300.085,0,0
4.3503e-05,1.9487e-05,5.84e-07,3.64e-07,4.73e-07,4.54e-07,5.48e-07,3.67476,4.67199,3.61799,3.50839,4.85196,3.75283,300.084,300.289,0,0
4.4192e-05,1.955e-05,5.21e-07,4.27e-07,4.06e-07,3.97e-07,4.78e-07,4.35862,4.94649,3.73402,4.75078,4.37925,4.98116,299.663,299.925,0,0
5.6646e-05,1.9101e-05,2.1893e-05,5.06e-07,4.9e-07,4.33e-07,7.31e-07,3.70451,3.9269,3.53541,4.60948,3.72961,3.78854,299.766,299.987,0,0
4.1994e-05,1.8944e-05,4.37e-07,4.64e-07,4.84e-07,3.43e-07,4.64e-07,3.65798,4.86444,4.37993,3.98545,4.31466,3.66175,300.253,299.759,0,0
4.2994e-05,1.949e-05,5.26e-07,3.86e-07,4.12e-07,3.24e-07,3.4e-07,3.56475,4.34755,4.58802,3.53995,3.57724,3.50406,300.096,300.299,0,0
6.0306e-05,1.9415e-05,5.07e-07,4.42e-07,4.94e-07,8.37e-07,3.84e-07,3.89774,4.22684,4.68083,4.99584,3.76891,4.49963,300.121,300.081,0,0
4.3008e-05,1.126e-06,5.19e-07,5.42e-07,5.97e-07,5.18e-07,4.71e-07,3.57535,4.46148,4.85954,4.09097,3.85698,3.8324,300.109,299.825,0,0
4.3177e-05,1.111e-06,6.12e-07,5.74e-07,2.3487e-05,3.94e-07,3.65e-07,3.63358,3.99324,3.73576,4.55183,4.4068,3.95984,300.164,299.949,0,0
7.5254e-05,1.8076e-05,4.8e-07,5.43e-07,5.23e-07,4.94e-07,4.23e-07,4.85073,4.56965,4.06776,3.5637,3.89789,3.50331,299.559,300.275,0,0
