Tempo Trilateração (s),Tempo distancia 0(s),Tempo distancia 1(s),Tempo distancia 2(s),Tempo distancia 3(s),Tempo distancia 4(s),Tempo distancia 5(s),Distancia nó 0(m),Distancia nó 1(m),Distancia nó 2(m),Distancia nó 3(m),Distancia nó 4(m),Distancia nó 5(m),Posição x estimada (m),Posição y estimada (m),Posição x real (m),Posição y real (m)
4.5037e-05,9.68e-07,5.43e-07,4.83e-07,4.09e-07,3.24e-07,3.72e-07,4.45722,3.64217,4.08368,4.0244,4.17325,3.97465,300.056,299.93,0,0
4.1939e-05,1.924e-05,4.71e-07,4.59e-07,4.65e-07,4.43e-07,3.64e-07,4.80425,4.38323,3.83759,3.89695,4.18961,3.85266,300.075,300.216,0,0
4.2209e-05,1.9048e-05,5.34e-07,4.29e-07,5.66e-07,3.94e-07,6.36e-07,4.12183,3.73485,4.0519,4.59256,3.64118,3.86333,300.163,299.914,0,0
5.6642e-05,1.9427e-05,7.18e-07,5.5e-07,3.43e-07,4.46e-07,3.9e-07,4.60266,3.65441,3.71773,4.09772,4.866,4.75772,300.237,300.085,0,0
4.2448e-05,9.84e-07,5.96e-07,4.83e-07,5.25e-07,5.35e-07,5.8e-07,4.12646,3.87097,4.16142,4.87264,4.72158,4.07401,299.966,300.194,0,0
5.6538e-05,1.641e-06,5.89e-07,7.11e-07,9.68e-07,5.95e-07,4.63e-07,3.88726,3.69531,4.91118,4.13886,4.60601,4.50907,299.805,299.858,0,0
4.2889e-05,1.241e-06,5.17e-07,2.0754e-05,3.68e-07,4.91e-07,9.02e-07,4.57688,4.50344,3.52767,4.46861,3.51884,3.69039,299.807,300.312,0,0
4.2052e-05,1.9333e-05,5.82e-07,5.66e-07,4.89e-07,2.274e-06,3.52e-07,4.89953,3.77961,3.72253,4.59237,4.86034,4.71291,300.278,300.001,0,0
4.2773e-05,1.9258e-05,4.05e-07,8.21e-07,4.66e-07,4.1e-07,3.35e-07,4.56042,3.66443,4.15169,4.86264,3.94568,3.70022,300.29,299.856,0,0
6.4771e-05,1.9096e-05,7.67e-07,4e-07,4.31e-07,3.48e-07,4.17e-07,4.51192,4.63079,4.6803,3.57404,4.36262,3.97052,299.876,299.611,0,0
4.1384e-05,9.08e-07,5.28e-07,6.71e-07,7.54e-07,7.59e-07,4.69e-07,4.0764,3.72351,4.70153,3.50532,4.77893,3.90973,300.245,300.067,0,0
4.1731e-05,1.144e-06,5.38e-07,4.29e-07,4.79e-07,4.67e-07,4.93e-07,4.69884,3.91142,3.82568,3.56691,3.92936,4.61954,299.591,299.864,0,0
4.1456e-05,1.9005e-05,5.69e-07,4.21e-07,4.49e-07,3.94e-07,4.61e-07,4.45956,4.02981,3.62708,3.71946,3.87456,4.97427,300.394,300.51,0,0
4.5442e-05,1.8932e-05,5.36e-07,5.62e-07,4.6e-07,4.57e-07,4.45e-07,4.22881,3.5639,3.74677,3.55684,4.96799,4.36893,299.891,299.717,0,0
4.1264e-05,1.9328e-05,5.11e-07,5.48e-07,4.88e-07,8.34e-07,5.01e-07,4.65506,4.61724,3.69467,3.59072,4.05878,3.99324,300.078,300.475,0,0
5.8156e-05,7.96e-07,4.66e-07,5.95e-07,5.42e-07,4.29e-07,4.3e-07,4.19119,3.64972,3.80615,3.78947,4.30472,4.36037,300.005,299.753,0,0
4.2702e-05,1.893e-05,5.87e-07,4.75e-07,4.87e-07,4.96e-07,4.34e-07,4.74505,4.8808,4.59933,3.84069,3.63828,3.71542,300.198,299.665,0,0
