Tempo Trilateração (s),Tempo distancia 0(s),Tempo distancia 1(s),Tempo distancia 2(s),Tempo distancia 3(s),Tempo distancia 4(s),Tempo distancia 5(s),Tempo distancia 6(s),Tempo distancia 7(s),Tempo distancia 8(s),Tempo distancia 9(s),Tempo distancia 10(s),Tempo distancia 11(s),Distancia nó 0(m),Distancia nó 1(m),Distancia nó 2(m),Distancia nó 3(m),Distancia nó 4(m),Distancia nó 5(m),Distancia nó 6(m),Distancia nó 7(m),Distancia nó 8(m),Distancia nó 9(m),Distancia nó 10(m),Distancia nó 11(m),Posição x estimada (m),Posição y estimada (m),Posição x real (m),Posição y real (m)
6.7348e-05,1.9115e-05,5.82e-07,4.61e-07,4.19e-07,3.79e-07,3.68e-07,3.72e-07,7.12e-07,3.6e-07,4.14e-07,5.1e-07,4.25e-07,0.991647,0.996052,0.984649,0.979801,0.992203,0.988932,0.999401,0.991126,0.980137,0.989996,0.997883,0.992595,299.997,300.001,0,0
6.709e-05,1.121e-06,6.07e-07,4.88e-07,4.59e-07,4.72e-07,4.64e-07,4.52e-07,4.05e-07,3.84e-07,5.43e-07,3.96e-07,4.51e-07,0.99409,0.996692,0.981191,0.980035,0.984456,0.984316,0.988999,0.987175,0.987917,0.997906,0.987717,0.988798,300.003,299.999,0,0
6.7913e-05,1.9238e-05,5.46e-07,4.8e-07,3.91e-07,1.667e-06,4.06e-07,3.54e-07,4.19e-07,7.27e-07,3.93e-07,3.69e-07,3.7e-07,0.990762,0.991923,0.991078,0.98837,0.982489,0.999964,0.99076,0.992401,0.990332,0.996111,0.985843,0.987697,300.001,299.999,0,0
6.6574e-05,1.122e-06,7.69e-07,4.92e-07,4.91e-07,4.77e-07,4.71e-07,4.93e-07,4.47e-07,4.03e-07,6.78e-07,4.44e-07,4.01e-07,0.99591,0.983253,0.996587,0.986949,0.986119,0.998176,0.987435,0.982958,0.993918,0.996408,0.982433,0.983231,300.004,300.002,0,0
6.6297e-05,1.9228e-05,6.09e-07,2.3089e-05,4.68e-07,4.43e-07,5.55e-07,4.38e-07,5.22e-07,5.48e-07,7.18e-07,4.77e-07,4.99e-07,0.984556,0.990555,0.991011,0.999607,0.986272,0.989487,0.982896,0.989353,0.985443,0.998579,0.985319,0.997466,300.002,299.995,0,0
7.9963e-05,1.9109e-05,4.16e-07,4.67e-07,3.7e-07,4.15e-07,4.21e-07,4.04e-07,4.33e-07,4.81e-07,3.95e-07,4.15e-07,4.44e-07,0.993914,0.986633,0.982545,0.985536,0.991775,0.997501,0.987149,0.992899,0.993652,0.997026,0.979921,0.997113,300,300.006,0,0
6.8926e-05,1.9165e-05,6.91e-07,5.3e-07,5.85e-07,4.38e-07,3.91e-07,4.27e-07,3.75e-07,3.62e-07,3.9e-07,3.77e-07,4.41e-07,0.980406,0.986647,0.98739,0.992565,0.996615,0.994185,0.992584,0.993843,0.983942,0.99171,0.992286,0.994763,299.997,299.997,0,0
6.6579e-05,1.217e-06,3.94e-07,5.13e-07,5.59e-07,4.83e-07,3.28e-07,3.12e-07,3.38e-07,3.76e-07,4e-07,3.64e-07,3.9e-07,0.994113,0.988333,0.980171,0.990984,0.991997,0.980732,0.992531,0.985629,0.990399,0.994565,0.999965,0.997654,299.998,299.994,0,0
6.7064e-05,1.226e-06,5.69e-07,4.66e-07,4.51e-07,3.17e-07,3.34e-07,3.59e-07,3.42e-07,3.8e-07,3.74e-07,3.43e-07,3.54e-07,0.990332,0.997501,0.99331,0.981148,0.997289,0.993147,0.993157,0.992881,0.993014,0.992169,0.983087,0.998006,300.005,300,0,0
6.7223e-05,1.59e-06,5.01e-07,4.04e-07,4.88e-07,4.09e-07,4.56e-07,4.27e-07,4.37e-07,3.46e-07,5.36e-07,5.14e-07,4.68e-07,0.989925,0.983083,0.990459,0.998984,0.988561,0.987165,0.983562,0.9906,0.992879,0.983464,0.980068,0.995405,300.002,299.996,0,0
6.955e-05,1.009e-06,5.2e-07,3.84e-07,4.17e-07,4.22e-07,4.04e-07,4.32e-07,4.11e-07,4.06e-07,3.46e-07,3.84e-07,4.29e-07,0.982509,0.993227,0.996798,0.98006,0.98725,0.985675,0.984537,0.982367,0.997337,0.9839,0.986553,0.998824,299.993,299.998,0,0
6.6523e-05,1.077e-06,4.31e-07,1.028e-06,3.94e-07,4.04e-07,3.72e-07,3.6e-07,4.75e-07,3.46e-07,3.12e-07,5.33e-07,3.91e-07,0.984546,0.984572,0.988547,0.999652,0.999861,0.991934,0.998435,0.998842,0.989655,0.99363,0.999269,0.988704,300.004,300.002,0,0
6.7853e-05,1.9566e-05,5.25e-07,5.04e-07,4.97e-07,4.62e-07,3.83e-07,4.01e-07,4.62e-07,6.21e-07,5.19e-07,4.3e-07,5.02e-07,0.996976,0.996715,0.98682,0.992142,0.988016,0.98415,0.997987,0.985236,0.990288,0.997045,0.987429,0.988673,300,300.002,0,0
6.7544e-05,1.926e-05,4.72e-07,4.11e-07,4.56e-07,4.23e-07,3.2e-07,4.25e-07,3.73e-07,4.83e-07,4.51e-07,3.89e-07,3.24e-07,0.986697,0.986006,0.980177,0.994235,0.993408,0.991782,0.999136,0.991407,0.985361,0.982286,0.989582,0.995263,300.001,299.996,0,0
0.000144096,1.401e-06,6.61e-07,4.56e-07,4.14e-07,4.59e-07,6.28e-07,4.61e-07,4.24e-07,4.8e-07,4.48e-07,7.61e-07,3.91e-07,0.986791,0.999425,0.992659,0.997008,0.991099,0.98329,0.997554,0.985362,0.979873,0.994397,0.991238,0.98807,300.003,300,0,0
6.6808e-05,1.9488e-05,5.42e-07,5.53e-07,4.68e-07,4.42e-07,4.29e-07,4.52e-07,4.93e-07,4.09e-07,3.59e-07,3.54e-07,4.1e-07,0.989326,0.986638,0.990671,0.998656,0.98774,0.983707,0.981519,0.98111,0.984277,0.986029,0.989204,0.997168,299.998,299.992,0,0
6.8065e-05,1.9524e-05,5.73e-07,5.46e-07,4.88e-07,4.59e-07,5.57e-07,4.56e-07,4.35e-07,4.31e-07,4.03e-07,3.85e-07,3.5e-07,0.99734,0.997716,0.982623,0.990116,0.996185,0.999575,0.981659,0.982698,0.999796,0.988382,0.995865,0.992427,299.998,300,0,0
7.0985e-05,1.328e-06,9.01e-07,5.48e-07,4.51e-07,4.81e-07,6.04e-07,4.8e-07,4.54e-07,3.58e-07,4.7e-07,4.4e-07,3.89e-07,0.981123,0.997495,0.980924,0.99219,0.996435,0.987841,0.991037,0.9849,0.996117,0.98786,0.983028,0.996102,300.003,299.997,0,0
6.6585e-05,1.449e-06,5.5e-07,8.35e-07,5.07e-07,4.84e-07,4e-07,3.5e-07,4.39e-07,3.32e-07,4.24e-07,3.75e-07,4.83e-07,0.99307,0.991457,0.99749,0.998041,0.997677,0.999286,0.980522,0.988211,0.987777,0.991406,0.99542,0.981239,300,299.992,0,0
