Tempo Trilateração (s),Tempo distancia 0(s),Tempo distancia 1(s),Tempo distancia 2(s),Tempo distancia 3(s),Tempo distancia 4(s),Tempo distancia 5(s),Tempo distancia 6(s),Tempo distancia 7(s),Tempo distancia 8(s),Tempo distancia 9(s),Tempo distancia 10(s),Tempo distancia 11(s),Distancia nó 0(m),Distancia nó 1(m),Distancia nó 2(m),Distancia nó 3(m),Distancia nó 4(m),Distancia nó 5(m),Distancia nó 6(m),Distancia nó 7(m),Distancia nó 8(m),Distancia nó 9(m),Distancia nó 10(m),Distancia nó 11(m),Posição x estimada (m),Posição y estimada (m),Posição x real (m),Posição y real (m)
7.1174e-05,1.4087e-05,5.37e-07,4.51e-07,4.53e-07,7.83e-07,4.66e-07,4.04e-07,4.72e-07,3.97e-07,4.57e-07,4.58e-07,4.22e-07,0.997642,0.984433,0.983833,0.994776,0.996908,0.981741,0.981456,0.992019,0.98425,0.998926,0.991277,0.993445,299.998,300,0,0
6.6444e-05,1.9375e-05,5.69e-07,4.84e-07,4.39e-07,4.68e-07,7.8e-07,4.67e-07,4.19e-07,4.46e-07,4.55e-07,4.28e-07,1.612e-06,0.982828,0.998842,0.985402,0.989817,0.989388,0.986573,0.985168,0.99985,0.997963,0.986124,0.981835,0.985024,300.002,300.003,0,0
6.5298e-05,8.94e-07,4.12e-07,4.42e-07,3.39e-07,4.17e-07,3.36e-07,3.77e-07,6.63e-07,4.08e-07,4.2e-07,4.35e-07,4.04e-07,0.990167,0.982317,0.985868,0.983739,0.98676,0.998611,0.984577,0.987385,0.980677,0.994583,0.980204,0.985377,300.001,300.001,0,0
6.9687e-05,1.386e-06,5.66e-07,4.43e-07,4.21e-07,4.06e-07,4.84e-07,5.37e-07,4.79e-07,7.18e-07,5.14e-07,4.96e-07,3.86e-07,0.984958,0.996109,0.987146,0.99418,0.986154,0.993154,0.98668,0.995139,0.998874,0.98832,0.980262,0.987225,300.002,299.996,0,0
6.7171e-05,1.131e-06,7.43e-07,4.49e-07,4.76e-07,5.45e-07,5.27e-07,5.1e-07,5.75e-07,4.46e-07,4.38e-07,4.45e-07,4.54e-07,0.993063,0.995267,0.983871,0.987146,0.990947,0.99512,0.99708,0.988378,0.992622,0.997904,0.993439,0.982506,300.004,300.006,0,0
6.7181e-05,1.285e-06,4.71e-07,4.62e-07,1.023e-06,4.54e-07,4.11e-07,4.71e-07,3.64e-07,4.02e-07,3.46e-07,4.29e-07,4.08e-07,0.983727,0.984966,0.984977,0.984738,0.993898,0.985706,0.983125,0.999757,0.998093,0.986545,0.994346,0.995529,299.994,300.001,0,0
6.8697e-05,1.092e-06,4.97e-07,4.63e-07,4.14e-07,3.49e-07,4.19e-07,4.79e-07,3.81e-07,3.59e-07,3.9e-07,3.74e-07,3.56e-07,0.980224,0.988859,0.993661,0.998164,0.983653,0.983887,0.996952,0.995064,0.992719,0.997027,0.998572,0.995742,299.997,299.997,0,0
6.7306e-05,1.9183e-05,4.94e-07,4.11e-07,3.89e-07,3.97e-07,3.83e-07,3.46e-07,3.83e-07,3.74e-07,4.3e-07,6.7e-07,4.85e-07,0.98804,0.994448,0.988266,0.982123,0.988606,0.989268,0.985767,0.995238,0.981904,0.996476,0.996148,0.987594,299.999,299.999,0,0
7.713e-05,1.9205e-05,1.41e-06,4.37e-07,4.5e-07,3.79e-07,3.77e-07,4.35e-07,7.41e-07,4.13e-07,3.42e-07,3.52e-07,4.58e-07,0.998818,0.988089,0.986313,0.989793,0.992199,0.993731,0.998242,0.983102,0.993416,0.984102,0.986521,0.979914,299.994,300.003,0,0
6.8359e-05,1.137e-06,5.29e-07,3.91e-07,3.99e-07,4.12e-07,4.2e-07,3.43e-07,3.75e-07,6.38e-07,4.33e-07,3.9e-07,3.53e-07,0.991986,0.999205,0.98564,0.987728,0.99232,0.99768,0.995739,0.991478,0.983982,0.980388,0.990847,0.983884,299.997,299.995,0,0
6.5897e-05,1.9234e-05,5.36e-07,3.93e-07,3.91e-07,4.29e-07,4e-07,3.99e-07,3.56e-07,3.45e-07,4.07e-07,3.58e-07,3.48e-07,0.985046,0.993437,0.990976,0.983506,0.988376,0.979853,0.985311,0.994683,0.983465,0.98334,0.994219,0.989149,300.001,300,0,0
