Tempo Trilateração (s);Tempo distancia 0(s),Tempo distancia 1(s),Tempo distancia 2(s),Distancia nó 0(m),Distancia nó 1(m),Distancia nó 2(m),Posição x estimada (m),Posição y estimada (m),Posição x real (m),Posição y real (m)
2.275e-06,1.9437e-05,4.56e-07,2.275e-06,0.997171,0.99633,0.98885,300,300.008,0,0
4.48e-07,1.44e-06,5.46e-07,4.48e-07,0.99814,0.983045,0.992125,300.003,300.012,0,0
4.41e-07,1.247e-06,4.14e-07,4.41e-07,0.99809,0.99919,0.992882,300.003,299.998,0,0
4.89e-07,1.8923e-05,4.84e-07,4.89e-07,0.980479,0.995415,0.991901,300.002,300.013,0,0
4.05e-07,1.9263e-05,4.43e-07,4.05e-07,0.999718,0.984777,0.986755,299.994,300.008,0,0
4.82e-07,9.55e-07,5.62e-07,4.82e-07,0.983801,0.984116,0.999044,299.992,300.007,0,0
5.18e-07,2.568e-05,5.49e-07,5.18e-07,0.980829,0.984718,0.981673,299.998,300.001,0,0
3.91e-07,1.9025e-05,4.69e-07,3.91e-07,0.987177,0.988159,0.990884,300,299.997,0,0
3.91e-07,1.672e-06,6.12e-07,3.91e-07,0.994195,0.983597,0.990986,300.004,299.993,0,0
4.15e-07,1.063e-06,5.67e-07,4.15e-07,0.983429,0.989147,0.980884,299.997,300.005,0,0
6.59e-07,9.79e-07,4.63e-07,6.59e-07,0.980167,0.989257,0.98771,299.999,300.008,0,0
4.66e-07,1.917e-05,5.1e-07,4.66e-07,0.993146,0.996288,0.994152,299.998,300.001,0,0
4.4e-07,1.9936e-05,7.65e-07,4.4e-07,0.999568,0.998824,0.980383,300.009,299.99,0,0
3.87e-07,1.054e-06,3.97e-07,3.87e-07,0.991869,0.996941,0.983695,299.996,299.991,0,0
4.39e-07,1.151e-06,5.68e-07,4.39e-07,0.990618,0.983763,0.991205,300.003,299.996,0,0
5.12e-07,1.062e-06,5.16e-07,5.12e-07,0.982624,0.99346,0.986722,300.005,300.001,0,0
5.02e-07,1.189e-06,5.15e-07,5.02e-07,0.98958,0.996218,0.998233,300.001,300.008,0,0
4.02e-07,1.9418e-05,4.36e-07,4.02e-07,0.994706,0.989458,0.999497,300.005,300,0,0
4.16e-07,1.343e-06,5.77e-07,4.16e-07,0.997665,0.982246,0.997054,300.008,299.993,0,0
4.29e-07,1.41e-06,4.26e-07,4.29e-07,0.985294,0.985916,0.989765,300,299.996,0,0
3.87e-07,1.927e-05,5.15e-07,3.87e-07,0.992855,0.997201,0.992748,300,299.996,0,0
3.96e-07,1.9303e-05,5.08e-07,3.96e-07,0.996385,0.996598,0.995482,299.999,300,0,0
5.85e-07,1.773e-06,7.89e-07,5.85e-07,0.986994,0.985832,0.984436,299.999,300.002,0,0
4.41e-07,1.9196e-05,5.79e-07,4.41e-07,0.997207,0.982043,0.994625,300.001,300.014,0,0
5.33e-07,1.9188e-05,7.22e-07,5.33e-07,0.991938,0.999268,0.991669,300,299.993,0,0
5.15e-07,1.166e-06,5.75e-07,5.15e-07,0.998927,0.990542,0.984218,299.996,300.01,0,0
4.21e-07,1.763e-06,6.23e-07,4.21e-07,0.993271,0.98564,0.998125,299.994,299.999,0,0
4.77e-07,1.9533e-05,5.44e-07,4.77e-07,0.998504,0.986903,0.981788,300.003,299.986,0,0
4.33e-07,1.9392e-05,5.19e-07,4.33e-07,0.983957,0.981796,0.992159,299.995,300.003,0,0
4.9e-07,1.9053e-05,4.5e-07,4.9e-07,0.98717,0.985264,0.991544,299.999,299.995,0,0
