Tempo Trilateração (s);Tempo distancia 0(s);Tempo distancia 1(s);Tempo distancia 2(s);Distancia nó 0(m);Distancia nó 1(m);Distancia nó 2(m);Posição x estimada (m);Posição y estimada (m);Posição x real (m);Posição y real (m)
3.54e-07;1.246e-06;4.83e-07;3.54e-07;49.6891;142.185;49.6891;55.6313;44.3687;0;0
4.18e-07;8.89e-07;4.96e-07;4.18e-07;49.6891;142.185;49.6891;55.6313;44.3687;0;0
6.65e-07;1.752e-06;1.136e-06;6.65e-07;49.6891;142.185;49.6891;55.6313;44.3687;0;0
8.7e-07;2.563e-06;1.059e-06;8.7e-07;5.4038;7.805;8.31511;99.9207;-0.320107;0;0
6.51e-07,9.73e-07,6.76e-07,6.51e-07,8.94969,5.262,6.88207,99.869,-0.0657216,0,0
6.39e-07,1.196e-06,6.99e-07,6.39e-07,6.63802,6.61415,5.96577,100.021,-0.018019,0,0
5.44e-07,1.032e-06,6.31e-07,5.44e-07,23.8433,6.59339,7.4526,100.03,-5.1598,0,0
5.95e-07,1.071e-06,6.29e-07,5.95e-07,11.5233,6.5168,8.14492,100.226,0.438665,0,0
6.2e-07,1.192e-06,3.914e-06,6.2e-07,5.64825,26.001,6.94706,98.4305,1.73306,0,0
6.25e-07,1.028e-06,5.36e-07,6.25e-07,8.48869,5.6724,14.5871,99.5485,0.0527032,0,0
5.69e-07,1.144e-06,6.83e-07,5.69e-07,5.28659,6.5743,14.4518,99.5477,0.299531,0,0
5.35e-07,9.75e-07,5.31e-06,5.35e-07,5.77433,5.28256,8.59015,99.9864,-0.445258,0,0
6.72e-07,1.212e-06,6.87e-07,6.72e-07,7.1261,5.54263,5.26776,100.058,0.143025,0,0
5.18e-07,9.81e-07,6.81e-07,5.18e-07,6.53261,5.63876,7.28845,100.026,0.187143,0,0
8.05e-07,1.039e-06,5.45e-07,8.05e-07,5.60371,137.456,7.48096,52.8435,46.9109,0,0
8.68e-07,1.41e-06,1.011e-06,8.68e-07,28.2709,7.71311,5.66229,101.849,5.82243,0,0
