Tempo Trilateração (s);Tempo distancia 0(s),Tempo distancia 1(s),Tempo distancia 2(s),Distancia nó 0(m),Distancia nó 1(m),Distancia nó 2(m),Posição x estimada (m),Posição y estimada (m),Posição x real (m),Posição y real (m)
5.42e-07,1.9684e-05,4.53e-07,5.42e-07,5.41029,5.42442,5.28599,300.037,299.971,0,0
4e-07,1.113e-06,5.38e-07,4e-07,4.41295,7.4131,8.71156,299.113,298.066,0,0
3.8e-07,8.65e-07,4.38e-07,3.8e-07,4.71302,5.43637,6.71888,300.184,299.037,0,0
3.72e-07,9.73e-07,5.66e-07,3.72e-07,7.10281,6.07002,6.04641,300.347,300.333,0,0
4.22e-07,1.203e-06,5.89e-07,4.22e-07,4.48386,4.62828,6.62335,299.439,300.627,0,0
5.21e-07,1.675e-06,6.31e-07,5.21e-07,5.66257,7.01069,4.47472,300.728,300.126,0,0
6.29e-07,1.32e-06,1.103e-06,6.29e-07,6.50791,4.55336,5.65428,300.281,299.2,0,0
5.24e-07,1.005e-06,5.59e-07,5.24e-07,7.2826,8.15329,6.67297,300.549,300.123,0,0
4.09e-07,1.816e-06,4.81e-07,4.09e-07,6.29671,4.40913,6.08106,300.067,300.944,0,0
4.38e-07,1.8947e-05,3.72e-07,4.38e-07,4.87487,6.8331,4.93142,299.986,298.868,0,0
6.06e-07,1.666e-06,7.1e-07,6.06e-07,4.60563,5.26914,7.30847,299.359,300.969,0,0
4.58e-07,1.241e-06,5.52e-07,4.58e-07,5.49668,8.71762,6.36579,300.258,297.969,0,0
1.173e-06,1.185e-06,4.25e-07,1.173e-06,5.73257,4.42251,4.59936,299.667,300.253,0,0
4.04e-07,1.909e-05,4.53e-07,4.04e-07,6.10775,6.37564,4.49465,300.511,299.656,0,0
4.97e-07,1.9197e-05,2.0495e-05,4.97e-07,5.34311,8.81411,9.54288,298.772,298.103,0,0
4.5e-07,1.9013e-05,5.1e-07,4.5e-07,5.41935,9.47903,7.00571,298.981,302.005,0,0
3.84e-07,1.181e-06,6.12e-07,3.84e-07,6.365,4.94921,7.28556,299.6,298.971,0,0
4.8e-07,1.9271e-05,4.57e-07,4.8e-07,4.45161,6.25374,5.04705,300.341,300.624,0,0
6.85e-07,1.438e-06,7.13e-07,6.85e-07,6.53251,6.07229,5.87281,299.795,300.085,0,0
3.98e-07,1.152e-06,4.47e-07,3.98e-07,8.92667,9.86238,6.6704,299.12,298.241,0,0
4.72e-07,1.9769e-05,6.7e-07,4.72e-07,6.18398,5.67668,6.72569,299.675,300.024,0,0
3.92e-07,1.9475e-05,5.64e-07,3.92e-07,4.41577,8.35078,7.08698,298.744,299.72,0,0
4.3e-07,1.9519e-05,5.66e-07,4.3e-07,9.9447,4.87292,4.43293,299.898,296.14,0,0
3.81e-07,9.01e-07,5.42e-07,3.81e-07,5.05085,5.73037,5.21383,299.958,299.676,0,0
4.4e-07,1.9534e-05,5.43e-07,4.4e-07,6.39295,6.64715,6.4287,299.929,300.094,0,0
4.69e-07,1.9098e-05,4.91e-07,4.69e-07,5.53393,5.55121,6.11282,299.995,299.668,0,0
3.9e-07,1.8697e-05,5e-07,3.9e-07,7.30895,4.87552,4.57725,300.07,298.447,0,0
4.93e-07,1.8841e-05,5.54e-07,4.93e-07,5.11876,4.41244,4.45992,299.989,299.674,0,0
5.22e-07,1.518e-06,6.9e-07,5.22e-07,5.60686,4.61016,5.19569,300.144,299.634,0,0
5.06e-07,1.458e-06,5.96e-07,5.06e-07,8.13992,4.46303,5.54751,300.271,297.954,0,0
