Tempo Trilateração (s),Tempo distancia 0(s),Tempo distancia 1(s),Tempo distancia 2(s),Tempo distancia 3(s),Tempo distancia 4(s),Tempo distancia 5(s),Tempo distancia 6(s),Tempo distancia 7(s),Tempo distancia 8(s),Tempo distancia 9(s),Tempo distancia 10(s),Tempo distancia 11(s),Distancia nó 0(m),Distancia nó 1(m),Distancia nó 2(m),Distancia nó 3(m),Distancia nó 4(m),Distancia nó 5(m),Distancia nó 6(m),Distancia nó 7(m),Distancia nó 8(m),Distancia nó 9(m),Distancia nó 10(m),Distancia nó 11(m),Posição x estimada (m),Posição y estimada (m),Posição x real (m),Posição y real (m)
0.000116824,1.9242e-05,4.86e-07,3.36e-07,4.33e-07,5.51e-07,4.9e-07,5.8e-07,3.24e-07,3.97e-07,5.09e-07,3.83e-07,3.58e-07,3.91822,3.84615,3.83285,4.58595,3.76498,4.2585,3.55033,3.69632,4.18177,4.54365,4.39507,4.37267,300.094,300.121,0,0
7.1324e-05,1.8689e-05,4.85e-07,5.11e-07,4.23e-07,4.82e-07,4.21e-07,3.84e-07,4.46e-07,4.07e-07,4.02e-07,4.6e-07,3.97e-07,4.21677,4.64379,3.74098,4.69757,4.87665,4.34118,4.61244,4.18689,3.73822,3.72156,3.87223,4.25654,299.846,299.749,0,0
7.028e-05,1.8983e-05,5.57e-07,4.71e-07,4.37e-07,4.75e-07,4.37e-07,4.05e-07,4.51e-07,4.15e-07,5.25e-07,3.73e-07,4.45e-07,4.16993,3.72194,3.97299,3.63135,4.04942,4.84348,4.89216,4.58035,4.68856,4.15881,4.1267,4.54083,299.925,300.311,0,0
6.92e-05,1.9065e-05,4.82e-07,4.82e-07,4.12e-07,4.42e-07,3.96e-07,4.47e-07,4.02e-07,4.54e-07,3.92e-07,5e-07,4.57e-07,3.77404,3.64405,4.92522,3.52588,3.60646,4.80566,3.71975,4.85929,4.37102,4.39044,3.70211,3.61142,300.083,299.649,0,0
7.5526e-05,1.356e-06,6.7e-07,9.52e-07,6.42e-07,6.64e-07,6.79e-07,6.83e-07,7.9e-07,6.15e-07,8.58e-07,1.097e-06,5.83e-07,4.81046,4.16487,3.53765,4.69893,4.15527,3.5711,3.59985,4.80825,4.80867,4.69452,3.60147,4.4301,300.074,299.846,0,0
7.0589e-05,1.9099e-05,6.17e-07,4.68e-07,4.47e-07,5.05e-07,4.14e-07,4.21e-07,4.07e-07,4.11e-07,4.62e-07,4.4e-07,3.34e-07,3.94626,4.57093,3.53187,4.99553,4.04642,4.68457,3.54586,4.32378,3.93057,4.42671,4.25169,3.53489,299.591,300.181,0,0
6.7585e-05,1.9378e-05,4.58e-07,3.43e-07,4.3e-07,4.26e-07,4.35e-07,5.78e-07,3.85e-07,4.15e-07,3.42e-07,3.64e-07,3.35e-07,4.91828,3.75646,4.54701,3.93969,4.04621,4.91432,3.92818,3.75962,3.54058,3.81683,4.25136,3.82005,300.126,299.896,0,0
7.1324e-05,1.438e-06,4.73e-07,5.07e-07,4.71e-07,3.95e-07,4.2e-07,4.07e-07,3.31e-07,3.58e-07,3.21e-07,3.58e-07,5.97e-07,4.10781,4.39224,4.52639,3.78522,3.72612,4.92334,4.79026,3.57151,4.50552,3.80201,4.94287,4.57691,300.015,299.923,0,0
8.8406e-05,1.068e-06,5.85e-07,3.46e-07,4e-07,3.97e-07,3.84e-07,2.0303e-05,4.14e-07,4.81e-07,3.65e-07,4.1e-07,4.09e-07,3.96456,4.08583,4.09854,3.76899,3.59052,4.09771,4.64099,3.59407,3.75,4.10038,4.92313,4.73398,300.335,300.124,0,0
6.8903e-05,1.9266e-05,5e-07,4.8e-07,4.19e-07,5e-07,6.64e-07,5.09e-07,5.76e-07,9.51e-07,4.65e-07,4.19e-07,4.51e-07,4.76909,4.91559,3.86477,4.70385,4.07567,3.85562,3.98454,4.78937,4.28341,4.27006,4.23972,4.4835,299.926,299.954,0,0
7.3001e-05,1.428e-06,8.41e-07,7.47e-07,5.8e-07,5.91e-07,6.17e-07,6.02e-07,5.58e-07,5.88e-07,6e-07,6.54e-07,5.48e-07,3.75324,4.75076,4.08767,3.75143,3.88745,4.59996,4.27377,3.86493,3.94854,4.52977,3.63866,4.36107,299.847,299.868,0,0
