Tempo Trilateração (s),Tempo distancia 0(s),Tempo distancia 1(s),Tempo distancia 2(s),Tempo distancia 3(s),Tempo distancia 4(s),Tempo distancia 5(s),Tempo distancia 6(s),Tempo distancia 7(s),Tempo distancia 8(s),Tempo distancia 9(s),Tempo distancia 10(s),Tempo distancia 11(s),Distancia nó 0(m),Distancia nó 1(m),Distancia nó 2(m),Distancia nó 3(m),Distancia nó 4(m),Distancia nó 5(m),Distancia nó 6(m),Distancia nó 7(m),Distancia nó 8(m),Distancia nó 9(m),Distancia nó 10(m),Distancia nó 11(m),Posição x estimada (m),Posição y estimada (m),Posição x real (m),Posição y real (m)
7.0163e-05,1.9331e-05,7.14e-07,6.09e-07,4.72e-07,4.69e-07,4.05e-07,4.87e-07,4.16e-07,4.36e-07,3.9e-07,3.69e-07,4.82e-07,4.48867,4.1802,4.55311,3.63286,4.60069,3.51355,3.91191,4.24776,3.68734,4.15997,3.85575,4.78494,299.589,299.95,0,0
6.9586e-05,1.023e-06,5.79e-07,4.94e-07,4.19e-07,4.9e-07,4.04e-07,4.18e-07,3.54e-07,5.58e-07,3.97e-07,3.72e-07,7.25e-07,3.5323,3.66032,3.53406,3.5542,4.0856,4.75501,4.50259,4.7664,3.60595,4.26498,4.14907,4.63709,300.121,300.365,0,0
7.3789e-05,1.337e-06,9.16e-07,6.95e-07,6.48e-07,6.18e-07,5.54e-07,4.93e-07,6.01e-07,4.16e-07,5.01e-07,4.95e-07,5.73e-07,4.62039,4.205,4.24965,4.92753,4.87794,4.68241,3.84149,3.7351,4.11892,3.96179,4.26279,3.54578,299.456,299.957,0,0
8.7127e-05,1.9853e-05,4.97e-07,5.02e-07,4.34e-07,4.28e-07,4.23e-07,4.35e-07,4.33e-07,4.74e-07,3.43e-07,4.02e-07,4.62e-07,4.04343,3.55331,3.76813,4.00214,4.10924,4.2447,3.52744,3.61564,4.11223,4.03354,3.65938,4.99794,299.97,300.615,0,0
6.999e-05,1.473e-06,5.58e-07,4.26e-07,4.39e-07,4.31e-07,4.75e-07,6.67e-07,4.31e-07,4.47e-07,4.31e-07,3.77e-07,3.6e-07,4.42937,4.46207,4.40539,3.70634,4.85098,4.16356,4.1501,3.75503,3.97608,4.69838,3.54805,4.53744,299.835,299.92,0,0
6.9634e-05,1.9104e-05,5.19e-07,5.23e-07,4.16e-07,6.59e-07,6.62e-07,4.39e-07,3.85e-07,3.72e-07,4.62e-07,4.52e-07,4.31e-07,4.49151,4.0101,4.16817,3.63539,4.87843,4.65758,3.716,4.53593,3.93316,4.2444,4.91492,3.59203,300.316,299.883,0,0
6.8624e-05,1.9289e-05,5.79e-07,4.03e-07,4.11e-07,4.36e-07,4.42e-07,4.48e-07,5.34e-07,4.01e-07,4.31e-07,5.09e-07,7.12e-07,4.30164,4.8173,4.65829,4.71804,4.77497,3.63352,4.90684,3.70142,3.84678,3.57395,4.09896,3.63187,299.939,300.243,0,0
6.8011e-05,1.496e-06,5.33e-07,4.95e-07,5.06e-07,4.27e-07,7.62e-07,4.81e-07,5.46e-07,3.62e-07,4.13e-07,5.13e-07,5.32e-07,4.63284,4.30935,4.14055,3.79365,4.24908,3.8118,4.42712,3.51982,4.76041,3.57393,4.32687,3.91014,300.112,300.035,0,0
7.049e-05,1.8985e-05,5.35e-07,4.07e-07,4.66e-07,3.99e-07,4.3e-07,3.94e-07,3.94e-07,4.54e-07,4.41e-07,2.0993e-05,4.2e-07,4.55206,4.35909,3.50194,3.83274,4.18673,4.32723,4.51758,4.39761,4.42594,3.6973,3.71665,4.26899,300.139,300.024,0,0
7.0558e-05,1.37e-06,1.104e-06,5.54e-07,5.7e-07,6.49e-07,5.52e-07,5.38e-07,5.81e-07,4.73e-07,4.41e-07,7.12e-07,5.18e-07,4.30788,3.9945,3.78691,4.54704,4.0526,3.59729,3.50872,3.84952,4.58958,3.53982,3.64928,4.93785,300.388,300.427,0,0
7.4984e-05,1.8931e-05,6.09e-07,5.49e-07,4.34e-07,4.82e-07,5.11e-07,5.11e-07,8.12e-07,4.93e-07,6.78e-07,4.19e-07,4.61e-07,4.60582,4.75719,3.9034,3.61879,4.77719,3.91566,4.5071,3.87626,3.77935,3.92937,4.80776,4.76577,300.024,299.747,0,0
6.8704e-05,1.9217e-05,5.15e-07,4.16e-07,4.05e-07,4.52e-07,4.01e-07,4.32e-07,4.57e-07,7.98e-07,8.14e-07,4.15e-07,4.54e-07,3.89404,3.557,3.5903,3.62241,3.92291,3.79783,4.31126,4.03748,4.26902,3.53017,3.6453,4.77316,300.227,300.486,0,0
7.1044e-05,1.395e-06,7.33e-07,4.78e-07,5.3e-07,4.56e-07,6.57e-07,5.31e-07,5.94e-07,4.99e-07,4.72e-07,7.61e-07,4.83e-07,3.78632,4.74124,3.54385,4.13586,4.55271,3.88819,4.59632,3.99235,3.60617,4.81195,3.70745,3.58668,299.882,299.833,0,0
7.4174e-05,1.171e-06,5.9e-07,4.28e-07,5.84e-07,5.28e-07,5.18e-07,5.94e-07,6.58e-07,5.01e-07,4.97e-07,5.93e-07,5.67e-07,4.11823,4.48501,4.3634,3.94409,3.54438,4.03158,4.63108,4.1428,3.6196,4.16381,4.26013,4.88876,299.722,299.641,0,0
6.8339e-05,1.19e-06,5.81e-07,5.72e-07,4.98e-07,4.42e-07,1.706e-06,4.99e-07,4.8e-07,4.7e-07,4.18e-07,5.17e-07,5.34e-07,3.56801,4.06595,4.89307,3.85497,4.31905,3.71449,4.29294,4.22926,3.5722,4.20413,3.71922,4.10846,299.99,300.207,0,0
8.1772e-05,1.573e-06,5.97e-07,5.86e-07,4.63e-07,4.67e-07,4.47e-07,4.62e-07,4.62e-07,6.5e-07,2.1274e-05,6.16e-07,5e-07,4.59354,4.61043,3.96628,4.0765,3.93218,3.98271,4.25857,3.8409,4.8433,4.42549,3.70951,3.54786,299.677,300.05,0,0
6.8903e-05,7.53e-07,4.86e-07,3.63e-07,4.54e-07,4.26e-07,4.27e-07,3.4e-07,3.62e-07,3.95e-07,3.8e-07,3.89e-07,3.69e-07,4.91265,3.8115,4.92201,3.67596,4.50536,4.73484,3.78116,4.69702,4.60182,3.56814,4.92258,3.61188,299.6,299.966,0,0
7.1865e-05,1.393e-06,5.29e-07,3.92e-07,5.5e-07,1.9865e-05,4.75e-07,7.27e-07,3.41e-07,4.68e-07,4.31e-07,5.07e-07,3.73e-07,3.89138,3.71722,4.15619,3.97206,3.75806,4.43692,4.04601,4.19245,3.61092,4.39986,4.20601,4.19761,300.051,299.825,0,0
7.4856e-05,1.152e-06,6.28e-07,4.4e-07,2.2229e-05,5.33e-07,4.96e-07,5.32e-07,4.57e-07,4.17e-07,4.12e-07,4.2e-07,4.4e-07,3.58534,3.7775,3.72804,4.56432,3.9909,3.5294,4.20844,4.08794,4.15577,3.99227,3.65552,3.53138,299.777,300.128,0,0
